month/day	retweet_count	favorite_count	vader compound	vader sentiment
2018-06-09	0	0	0.0	neutral
2018-06-10	0	0	0.0	neutral
2018-06-11	0	0	0.0	neutral
2018-06-12	0	0	0.0	neutral
2018-06-13	0	0	0.0	neutral
2018-06-14	0	0	0.0	neutral
2018-06-15	0	0	0.0	neutral
2018-06-16	0	0	0.0	neutral
2018-06-17	0	0	0.0	neutral
2018-06-18	0	0	0.0	neutral
2018-06-19	0	0	0.0	neutral
2018-06-20	0	0	0.0	neutral
2018-06-21	138029	584514	4.2878	positive
2018-06-22	297832	1157852	2.2613000000000003	positive
2018-06-23	261400	1126347	1.3144999999999998	positive
2018-06-24	182414	756013	4.5631	positive
2018-06-25	318902	1285607	-1.3751	negative
2018-06-26	286894	1367791	3.6212	positive
2018-06-27	206962	936936	4.1513	positive
2018-06-28	186295	847320	1.0483000000000002	positive
2018-06-29	45578	218071	0.24260000000000015	positive
2018-06-30	232392	975730	3.863	positive
2018-07-01	133317	522150	2.3275	positive
2018-07-02	38865	180774	0.6102	positive
2018-07-03	313194	1396909	6.9276	positive
2018-07-04	128789	609343	2.0413	positive
2018-07-05	189108	833162	4.2468	positive
2018-07-06	57139	242629	-0.6808	negative
2018-07-07	114618	487293	-1.633	negative
2018-07-08	204546	723871	1.1362	positive
2018-07-09	157522	713516	3.2227	positive
2018-07-10	220924	1001358	3.546	positive
2018-07-11	189677	789282	1.6091	positive
2018-07-12	144839	623913	2.2597	positive
2018-07-13	54000	248006	0.7184	positive
2018-07-14	218022	894737	0.9773999999999999	positive
2018-07-15	108913	502021	-1.3878	negative
2018-07-16	223411	952125	4.0782	positive
2018-07-17	155852	692736	1.7583999999999997	positive
2018-07-18	264920	1095636	7.08	positive
2018-07-19	234943	935152	-1.49	negative
2018-07-20	153441	657837	-1.0792000000000002	negative
2018-07-21	144487	574567	1.4123999999999999	positive
2018-07-22	296358	1058827	-2.4181	negative
2018-07-23	242402	986764	-1.1929999999999998	negative
2018-07-24	264931	1143799	7.343500000000001	positive
2018-07-25	265389	1184870	9.170200000000001	positive
2018-07-26	208190	849385	5.152	positive
2018-07-27	293947	1216099	5.5181	positive
2018-07-28	23122	85655	0.0	neutral
2018-07-29	314142	1237837	0.6901999999999998	positive
2018-07-30	214994	909801	8.177800000000001	positive
2018-07-31	259899	1112303	6.937499999999998	positive
2018-08-01	223370	891918	0.7797999999999997	positive
2018-08-02	221171	974799	4.855700000000001	positive
2018-08-03	228499	938953	5.5451	positive
